"Which CNCF project(s) do you primarily contribute to?
Specify the project(s) where you are most active (e.g., Kubernetes, Prometheus, Argo).","What is your primary contributor role?
Select the role that best describes your core activities within the community.","How long have you been contributing to CNCF projects?
This helps us understand if AI adoption patterns differ between seasoned maintainers and new contributors.","Do any of the projects you contribute to currently disclose the usage of AI tools in its documentation or governance?
Does the project's README, website, or contributing guide explicitly mention if AI is used in the development process?","Are you aware of any specific AI policies governing your project(s)?
Whether at the project or org level, are there rules you are expected to follow?","If yes, which policy does your project have?
Please describe the current ""vibe"" or official stance on AI tools in your project(s).","If yes, could you provide link to the repository/policy?","How do you currently use AI in your workflow? Select all that apply.
Please categorize your level of AI interaction from simple external queries to fully integrated automation.","Which AI tools do you use most frequently for project work? Tell us your ""stack"" (e.g., GitHub Copilot, ChatGPT, KubeGPT, etc.).",Where is your projects integrating AI-powered tools? Identify where AI is being used as a project-wide utility rather than just an individual's personal tool.,"In your opinion, in which areas has AI been most helpful? (Select all that apply) Where are you seeing the biggest ""productivity wins"" or quality improvements?","Do you believe AI-assisted contributions should require disclosure in pull requests? We are seeking community sentiment on whether ""AI-authored"" tags should be a standard requirement for transparency.","When reviewing pull requests from new contributors in your CNCF project, what challenges or concerns do you encounter if the submitted code appears to be partially or fully generated using AI tools?
As a reviewer, how do you handle the influx of code that may not have been written by a human?","What is your biggest concern regarding AI usage in CNCF projects?
From legal liability to the ""noise"" of low-quality PRs, what keeps you up at night?",Anything else you’d like to share on the topic? Use this space for any nuances we might have missed in the multiple-choice questions.
OpenTofu,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,"Yes, all",Yes,AI usage is prohibited,https://github.com/opentofu/opentofu/blob/19af81d28ed466ffa2f4da713f702853e09fb1ab/contributing/DEVELOPING.md#a-note-on-copyright,None,,It doesn't,It has not been helpful because we prohibit use of it.,"Yes, always",The PR is automatically rejected,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","It's mentioned in the policy doc I linked but just to make sure it's visible: OpenTofu's prohibition on using generative AI is primarily due to its heritage as a fork of another codebase whose license was changed, where the owners of that old codebase have previously attempted to sue based on similarity of code contributed to OpenTofu.

The maintainers avoid looking at the original project's source code to avoid risk of ""taint"" and so cannot effectively verify whether submitted code is similar to Terraform, but anecdotal reports suggest that current coding agent technologies have access to information about what OpenTofu is a fork of and will autonomously fetch Terraform source code for analysis before making changes to OpenTofu. Therefore we have chosen to minimize risk of further timewasting lawsuits by prohibiting use of this technology against the main OpenTofu codebase."
kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,No policies exist,,None,,It doesn't,"Debugging and Troubleshooting, not much benefit ","Yes, always",The PR is automatically rejected,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Knative,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",ChatGPT,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Argo,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,Yes,AI usage is allowed (any tool is ok),https://github.com/argoproj/argoproj/blob/main/community/genai.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Cursor, Coderabbit",Code Reviews,"Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
KubeVela,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,No,No,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",Claude Code,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
wasmCloud,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",claude code,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs","We will adopt best practices identified as part of this effort and others (e.g. from OpenSSF). As an incubating project, we are also interested in available services and resources. "
SOPS,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,AI usage is allowed (any tool is ok),,None,,It doesn't,Understanding the codebase,"Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
in-toto,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code for larger efforts and GitHub Copilot for in IDE,Code Reviews,"Writing/Refactoring Code, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,High volume of low-effort issues or PRs,
cartography,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/cartography-cncf/cartography/blob/master/AGENTS.md,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude, Codex, Cubic.dev for reviews",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,High volume of low-effort issues or PRs,"If code meets the quality bar, it gets merged in - AI or not."
Falco,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Volcano,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",GitHub Copilot,"Code Reviews, Issue Triaging","Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"Harbor-CLI, Harbor-Satellite","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",6 months - 1 year,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",Claude and ChatGPT (Free tiers),Code Reviews,"Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always","If any PR is without prior discussion via an issue, it is either left stale till someone opens an issue and discusses what the PR is and why. If an issue was made beforehand it goes through the normal process. This was done not to reject AI PRs but to make sure there is a human behind the PR and not just an automated bot.","Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs","I think accountability is another major concern. Specially in an open source environment. If a PR is merged into a repo and causes some vulnerabilities or errors, the main concern is to find and solve that issue. It is precisely the 'finding' part which is so difficult in AI PR's and even more so when there is no one prompting.
Someone is to be held accountable, not for merging a wrong/vuln PR but for being able to solve and find the issue. A maintainer who merges a PR, and a contributor who contributed are accountable for that. With AI PR's and AI Reviews, no one is. Not even the AI remembers what it wrote."
"Harbor, K3s","Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","ChatGPT, Claude","Code Reviews, Issue Triaging","Writing/Improving Documentation, Understanding the codebase","Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth, it's deluting the effort from many  and it's dehumanizing the projects",
Karmada,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",No,AI usage is allowed (but only specific tools),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Github Copilot,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"License / legal compliance, High volume of low-effort issues or PRs",
"HAMi, Volcano","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),https://github.com/Project-HAMi/HAMi/blob/master/CONTRIBUTING.md#ai-assistance-notice,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Cursor,"Code Reviews, CI/CD","Writing/Refactoring Code, Managing CI/CD or Infrastructure, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,High volume of low-effort issues or PRs,
Shipwright,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,"Topic has been discussed in community meeting, but we have not yet documented the outcome. It came up whether there is guidance from the CNCF on all its projects.","Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",GitHub Copilot,Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis, I found it valuable on all the aspects I checked. However, I have not yet used it for the aspects I have not checked.","Yes, always",Has not yet happened.,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
bpfman,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","ChatGPT, Claude Code.",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase",No,We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
bootc,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing, Testing",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),"https://github.com/bootc-dev/bootc/blob/main/README.md, https://github.com/bootc-dev/bootc/blob/main/REVIEW.md, https://github.com/bootc-dev/bootc/blob/main/AGENTS.md","Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","OpenCode, Claude Code, Claude.ai, Gemini Code Assist",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,License / legal compliance,
"Envoy Proxy, Kgateway, OpenChoreo","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",Claude Code,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,High volume of low-effort issues or PRs,
HAMi,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://github.com/Project-HAMi/HAMi/blob/master/CONTRIBUTING.md#ai-assistance-notice,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Kimi Code CLI, Goose, Gemini CLI",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Managing CI/CD or Infrastructure, Understanding the codebase","Yes, always",We don’t reject it but we ask the developer to improve the PR,Reviewer or maintainer workload,"When handling AI-assisted PRs, the biggest challenge is determining whether the PR submitter truly understands the problem being addressed. In the HAMi community, we've encountered numerous cases where submitters relied on AI analysis to understand the project and the issue, but they fundamentally misunderstood the project's principles and the problem from the outset, resulting in invalid PRs."
kgateway,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,Yes,AI usage is allowed (any tool is ok),https://github.com/kgateway-dev/community/blob/main/CODE-OF-CONDUCT.md#generative-ai-policy,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",claude and codex,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Kepler,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,"Yes, but most do not",Yes,AI usage is allowed (but only specific tools),We refer to LF policy (https://www.linuxfoundation.org/legal/generative-ai),"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","IBM Bob, MS Copilot, GH Copilot",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, Impact on community health and contributor growth",
Copacetic,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","GitHub Copilot, ChatGPT",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase",Unsure,We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
SPIFFE,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code,Code Reviews,Completing tasks there would otherwise not be time to address i.e nits etc,"Yes, always",We follow the usual PR review process,High volume of low-effort issues or PRs,
Kubevela,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","cubic-dev, claude code","Code Reviews, Issue Triaging","Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Trickster,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Cursor, Claude, ChatGPT",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase","Yes, always","For contributions that appear to be AI-generated; before reviewing the merit of the contribution's changes, we confirm that a human contributor 1) has actually submitted the PR; 2) has fully reviewed, understands the impacts of, and signs off on the change, and 3) can defend the contribution under reasonble technical scrutiny.","High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Trickster,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,https://github.com/trickstercache/trickster,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude Code, Cursor",It doesn't,"Writing/Improving Documentation, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Konveyor,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude, opencode",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Zot,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,AI usage is allowed (but only specific tools),https://github.com/project-zot/zot,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",GitHub Copilot,"Code Reviews, Agent generated PRs","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload",
meshery,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Community mentoring",1 year - 2 years,"Yes, most but not all",Yes,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Github Copilot,"Code Reviews, ","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",Unsure,We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, Impact on community health and contributor growth",We are open to AI in our community but give us some overhead and some new contributors which are not aware of all old decisions made begin big refactoring without all context behind that can cause friction sometimes
PipeCD,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Codex CLI,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase",Unsure,We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload",recently I haven't written codes and I have  reviewed PRs on PipeCD
OpenChoreo,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude Code, GitHub Copilot",Code Reviews,"Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"License / legal compliance, Reviewer or maintainer workload, Impact on community health and contributor growth",
perses,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","GitHub Copilot, Claude code, Cursor",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"Kubernetes, CoHDI","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","ChatGPT, Claude",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,High volume of low-effort issues or PRs,
Dex,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Github copilot,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,Impact on community health and contributor growth,
"kcp, kube-bind","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",6 months - 1 year,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","claude, GH copilot",Code Reviews,"Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, People blindly trusting the LLM output instead of verifying the result.","I think LLMs are a good tool - but the human is still the quality gate and too many humans are disregarding that; on both sides of the discussion. Yes we get a lot of slop from AI ""enthusiasts"" but we also get a lot of valuable help from LLMs and people using them. 

At the end of the day the operator of the LLM has to be critical of the result of the LLM and determine whether that result is correct."
kai-scheduler,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","claude code, rabbit.ai",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, ",If the generated code is good and helpful than it is worthy.. But why do people need open source software if they can just generate anything? maybe in the future the whole open source community will have to tackle this.
"Kubescape, Inspektor Gadget","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","GitHub Copilot, Claude Code","Code Reviews, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
k8up,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",claude code,It doesn't,"Writing/Improving Documentation, Managing CI/CD or Infrastructure, Community Management / Communication, Code Reviews / Pull Requests Analysis",Unsure,We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",we have a meeting scheduled to discuss this with all project maintainers this month
OpenEverest,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
"Kuadrant, Kubernetes","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",No,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude, Coderabbit","Code Reviews, CI/CD","Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
